順位,チーム名,勝点,試合数,勝,分,敗,得点,失点,得失,平均勝点,平均得点,平均失点
1,川崎フロンターレ川崎Ｆ,85,35,26,7,2,72,25,47,2.43,2.1,0.7
2,横浜Ｆ・マリノス横浜FM,75,35,23,6,6,78,32,46,2.14,2.2,0.9
3,ヴィッセル神戸神戸,67,35,19,10,6,58,34,24,1.91,1.7,1.0
4,鹿島アントラーズ鹿島,62,35,19,5,11,60,36,24,1.77,1.7,1.0
5,名古屋グランパス名古屋,62,35,18,8,9,40,27,13,1.77,1.1,0.8
6,浦和レッズ浦和,59,35,17,8,10,43,36,7,1.69,1.2,1.0
7,サガン鳥栖鳥栖,56,35,15,11,9,42,32,10,1.6,1.2,0.9
8,アビスパ福岡福岡,51,35,14,9,12,40,35,5,1.46,1.1,1.0
9,ＦＣ東京FC東京,49,35,14,7,14,47,50,-3,1.4,1.3,1.4
10,サンフレッチェ広島広島,46,35,11,13,11,39,37,2,1.31,1.1,1.1
11,セレッソ大阪Ｃ大阪,45,35,12,9,14,43,44,-1,1.29,1.2,1.3
12,北海道コンサドーレ札幌札幌,45,35,12,9,14,44,48,-4,1.29,1.3,1.4
13,ガンバ大阪Ｇ大阪,43,35,12,7,16,31,42,-11,1.23,0.9,1.2
14,柏レイソル柏,40,35,12,4,19,34,50,-16,1.14,1.0,1.4
15,湘南ベルマーレ湘南,33,35,6,15,14,34,40,-6,0.94,1.0,1.1
16,清水エスパルス清水,33,35,7,12,16,33,53,-20,0.94,0.9,1.5
17,徳島ヴォルティス徳島,30,35,8,6,21,29,51,-22,0.86,0.8,1.5
18,大分トリニータ大分,28,35,7,7,21,26,53,-27,0.8,0.7,1.5
19,ベガルタ仙台仙台,27,35,5,12,18,29,57,-28,0.77,0.8,1.6
20,横浜ＦＣ横浜FC,27,35,6,9,20,32,72,-40,0.77,0.9,2.1
